"","turbine_no","flight_number","altitude_sea_level","Mach","Thrust_Resolver_Angle","Sensor1","Sensor2","Sensor3","Sensor4","Sensor5","Sensor6","Sensor7","Sensor8","Sensor9","Sensor10","Sensor11","Sensor12","Sensor13","Sensor14","Sensor15","Sensor16","Sensor17","Sensor18","Sensor19","Sensor20","Sensor21","RUL","Predicted_RUL"
"24",3,44,-0.0019,0,100,518.67,642.16,1586.46,1410.72,14.62,21.61,552.95,2388.13,9055.43,1.3,47.59,521.77,2388.14,8133.77,8.4204,0.03,394,2388,100,38.74,23.3035,NA,74.9673874691213
"25",3,45,3e-04,-4e-04,100,518.67,642.55,1588.36,1405.75,14.62,21.61,552.3,2388.13,9058.3,1.3,47.57,521,2388.14,8125.84,8.4227,0.03,394,2388,100,38.86,23.3064,NA,81.6192348954782
"26",3,46,-6e-04,-2e-04,100,518.67,642.45,1587.99,1401.94,14.62,21.61,553.75,2388.09,9055.86,1.3,47.55,521.21,2388.09,8127.02,8.421,0.03,393,2388,100,38.83,23.1494,NA,80.5226916770498
"27",3,47,0.0015,-5e-04,100,518.67,642.63,1587.05,1407.79,14.62,21.61,553.6,2388.14,9051.69,1.3,47.56,520.81,2388.11,8137.44,8.4516,0.03,394,2388,100,38.88,23.3113,NA,70.4838072271565
"28",3,48,8e-04,0,100,518.67,642.26,1586.63,1411.59,14.62,21.61,553.31,2388.08,9056.76,1.3,47.58,521.85,2388.09,8135.46,8.4567,0.03,393,2388,100,38.9,23.2519,NA,77.5607773461788
"29",3,49,0.0016,-3e-04,100,518.67,642.29,1592.85,1406.74,14.62,21.61,553.64,2388.12,9047.48,1.3,47.54,521.54,2388.08,8131.23,8.4352,0.03,394,2388,100,38.85,23.1975,NA,63.2872418668474
"30",3,50,-0.0024,1e-04,100,518.67,642.62,1590.17,1412.49,14.62,21.61,552.57,2388.11,9054.14,1.3,47.68,521.54,2388.07,8133.81,8.4672,0.03,393,2388,100,38.71,23.3445,NA,77.566944099309
"31",3,51,0.0016,3e-04,100,518.67,642.61,1588.68,1406.19,14.62,21.61,552.7,2388.11,9045.08,1.3,47.4,521.36,2388.12,8132.27,8.4294,0.03,393,2388,100,38.6,23.2918,NA,71.94685767774
"32",3,52,4e-04,-4e-04,100,518.67,642.77,1588.89,1406.76,14.62,21.61,553.04,2388.11,9054.14,1.3,47.43,522.1,2388.11,8133.85,8.4344,0.03,392,2388,100,38.91,23.3043,NA,86.5881098196066
"33",3,53,-0.0034,-1e-04,100,518.67,642.53,1588.86,1409.88,14.62,21.61,553.24,2388.13,9046.64,1.3,47.6,521.25,2388.13,8126.83,8.4125,0.03,393,2388,100,38.72,23.3259,NA,72.033171901422
"34",3,54,6e-04,3e-04,100,518.67,642.6,1596.47,1408.82,14.62,21.61,553.6,2388.12,9054.38,1.3,47.52,521.3,2388.12,8134.63,8.4334,0.03,393,2388,100,38.92,23.2866,NA,76.421454443396
"35",3,55,-0.007,0,100,518.67,642.77,1591.57,1409.51,14.62,21.61,554.42,2388.18,9051.92,1.3,47.63,521.23,2388.11,8132.55,8.4423,0.03,392,2388,100,39,23.2989,NA,81.4874264077643
"36",3,56,-0.0018,-5e-04,100,518.67,642.48,1594.76,1407.64,14.62,21.61,552.96,2388.12,9051.64,1.3,47.45,521.72,2388.11,8128.25,8.4621,0.03,392,2388,100,38.89,23.3532,NA,86.7733104877287
"37",3,57,-0.0031,0,100,518.67,642.3,1588.4,1409.37,14.62,21.61,553.88,2388.18,9058.79,1.3,47.69,521.32,2388.15,8127.92,8.4406,0.03,392,2388,100,38.76,23.2571,NA,86.3697355739182
"38",3,58,3e-04,-2e-04,100,518.67,642.21,1596.72,1416.17,14.62,21.61,553.24,2388.15,9055.83,1.3,47.6,521.08,2388.14,8129.73,8.4903,0.03,393,2388,100,38.86,23.3165,NA,79.6983300676501
"39",3,59,-2e-04,-1e-04,100,518.67,642.92,1589.09,1406.51,14.62,21.61,552.79,2388.1,9052.43,1.3,47.49,520.91,2388.12,8133.07,8.4042,0.03,394,2388,100,38.89,23.2791,NA,75.2625155531562
"40",3,60,-0.001,3e-04,100,518.67,642.7,1586.17,1411.97,14.62,21.61,553.14,2388.15,9052.17,1.3,47.45,521.4,2388.07,8129.02,8.4746,0.03,394,2388,100,38.79,23.2657,NA,73.8885685287368
"41",3,61,1e-04,2e-04,100,518.67,642.26,1594.76,1408.88,14.62,21.61,553.74,2388.12,9049.64,1.3,47.59,521.19,2388.08,8135.7,8.4224,0.03,395,2388,100,38.85,23.2423,NA,59.0713029017041
"42",3,62,8e-04,3e-04,100,518.67,642.5,1594.72,1396.96,14.62,21.61,553.83,2388.15,9054.32,1.3,47.57,521.52,2388.11,8129.64,8.412,0.03,393,2388,100,38.71,23.2947,NA,74.5154712938995
"43",3,63,-4e-04,0,100,518.67,642.93,1588.79,1402.3,14.62,21.61,552.62,2388.18,9050.53,1.3,47.59,520.85,2388.13,8127.58,8.4595,0.03,393,2388,100,38.9,23.2126,NA,75.6589707283906
"44",3,64,-0.0014,-4e-04,100,518.67,643.09,1584.76,1410.91,14.62,21.61,554.3,2388.06,9057.67,1.3,47.43,521.04,2388.13,8128.41,8.4524,0.03,392,2388,100,38.99,23.1985,NA,91.5605500682644
"45",3,65,-5e-04,1e-04,100,518.67,642.86,1591.13,1403.62,14.62,21.61,552.99,2388.15,9057.11,1.3,47.37,520.79,2388.15,8132.1,8.4622,0.03,392,2388,100,38.62,23.2824,NA,96.0991755018885
"46",3,66,0.0043,1e-04,100,518.67,642.36,1593.86,1403.67,14.62,21.61,552.98,2388.06,9052.31,1.3,47.43,521.48,2388.16,8127.64,8.4539,0.03,393,2388,100,38.76,23.2206,NA,75.8554256533189
"47",3,67,-0.0017,2e-04,100,518.67,642.58,1588.38,1407.19,14.62,21.61,553.59,2388.12,9050.14,1.3,47.49,521.1,2388.09,8129.96,8.427,0.03,394,2388,100,38.91,23.3668,NA,70.2070480934832
"48",3,68,-0.0017,-5e-04,100,518.67,642.61,1587.1,1402.64,14.62,21.61,553.24,2388.11,9052.55,1.3,47.66,521.82,2388.12,8123.9,8.5025,0.03,394,2388,100,38.8,23.1527,NA,69.8342543760801
"49",3,69,-6e-04,-4e-04,100,518.67,642.73,1593.78,1408.36,14.62,21.61,552.93,2388.13,9046.33,1.3,47.72,521.21,2388.1,8129.83,8.4246,0.03,393,2388,100,38.74,23.1786,NA,67.1275616863506
"50",3,70,0.0047,3e-04,100,518.67,642.8,1590.88,1403.08,14.62,21.61,553.58,2388.1,9053.71,1.3,47.5,521.28,2388.14,8133.05,8.4304,0.03,393,2388,100,38.75,23.2726,NA,73.2883093764274
"51",3,71,0.0011,-3e-04,100,518.67,642.2,1592.03,1411.56,14.62,21.61,553.39,2388.11,9056.75,1.3,47.43,521.48,2388.09,8128.52,8.4327,0.03,393,2388,100,38.75,23.2822,NA,84.8927843437962
"52",3,72,0.002,-1e-04,100,518.67,643.25,1588.93,1398.3,14.62,21.61,553.1,2388.18,9054.33,1.3,47.48,520.83,2388.15,8134.98,8.4195,0.03,393,2388,100,38.71,23.2961,NA,81.6377132412065
"53",3,73,-0.0017,-4e-04,100,518.67,642.94,1582.79,1414.7,14.62,21.61,553.6,2388.14,9057.19,1.3,47.59,520.87,2388.11,8129.7,8.4571,0.03,393,2388,100,38.89,23.3894,NA,83.7767244095765
"54",3,74,0.0026,-1e-04,100,518.67,642.46,1588.15,1408.27,14.62,21.61,553.46,2388.16,9051.61,1.3,47.61,521.5,2388.14,8127.69,8.4202,0.03,395,2388,100,38.91,23.2759,NA,59.3067346798777
"55",3,75,0.001,5e-04,100,518.67,642.91,1589.72,1410.16,14.62,21.61,553.7,2388.16,9051.31,1.3,47.54,521.43,2388.14,8131.96,8.4519,0.03,395,2388,100,38.84,23.3069,NA,60.2815586187963
"56",3,76,0.001,-5e-04,100,518.67,642.27,1587.92,1400.94,14.62,21.61,552.57,2388.08,9050.24,1.3,47.67,521.16,2388.09,8133.83,8.4511,0.03,395,2388,100,38.72,23.1899,NA,62.6669436428214
"57",3,77,-0.0026,4e-04,100,518.67,642.52,1589.54,1417.26,14.62,21.61,552.92,2388.11,9053.65,1.3,47.68,521.46,2388.1,8133.66,8.4274,0.03,392,2388,100,38.75,23.2234,NA,80.4226917829572
"58",3,78,-0.0018,1e-04,100,518.67,642.58,1592.56,1410.4,14.62,21.61,553.29,2388.16,9046.23,1.3,47.58,521.31,2388.07,8131.09,8.4387,0.03,394,2388,100,38.98,23.3004,NA,63.1179003068884
"59",3,79,2e-04,-3e-04,100,518.67,642.66,1586.45,1412.77,14.62,21.61,553.18,2388.14,9052.76,1.3,47.7,521.32,2388.12,8126.75,8.4554,0.03,392,2388,100,38.96,23.2545,NA,77.5976341368836
"60",3,80,0.0018,3e-04,100,518.67,642.95,1595.2,1406.33,14.62,21.61,554.02,2388.12,9058.67,1.3,47.68,521.46,2388.08,8129.14,8.4259,0.03,394,2388,100,38.93,23.3744,NA,68.4035929923993
"61",3,81,-0.0013,0,100,518.67,642.2,1592.56,1402.49,14.62,21.61,553.49,2388.1,9052.17,1.3,47.7,520.99,2388.15,8130.23,8.4128,0.03,392,2388,100,38.86,23.1784,NA,77.5928205896125
"62",3,82,0.0052,-4e-04,100,518.67,642.62,1586.48,1404.24,14.62,21.61,553.22,2388.07,9047.31,1.3,47.45,521.18,2388.11,8124.06,8.4639,0.03,393,2388,100,38.66,23.3263,NA,71.0893724632024
"63",3,83,-0.001,-3e-04,100,518.67,642.73,1592.66,1411.4,14.62,21.61,553.3,2388.14,9050.66,1.3,47.71,521.37,2388.17,8132.57,8.4333,0.03,393,2388,100,38.86,23.2346,NA,70.6649744678302
"64",3,84,0.0039,1e-04,100,518.67,642.72,1591.55,1409.58,14.62,21.61,553.13,2388.16,9053.21,1.3,47.59,521.23,2388.13,8134.98,8.4715,0.03,395,2388,100,38.78,23.2962,NA,62.0389547977154
"65",3,85,-0.001,5e-04,100,518.67,642.75,1591.29,1407.71,14.62,21.61,552.91,2388.09,9056.05,1.3,47.58,521.01,2388.14,8133.36,8.4406,0.03,393,2388,100,38.78,23.3777,NA,80.3114007136844
"66",3,86,-0.0019,-4e-04,100,518.67,643.29,1592.97,1405.32,14.62,21.61,553.93,2388.18,9049.59,1.3,47.49,521.2,2388.11,8124.34,8.4363,0.03,393,2388,100,38.86,23.187,NA,76.7042253305012
"67",3,87,-5e-04,-1e-04,100,518.67,643.26,1588.19,1416.54,14.62,21.61,553.58,2388.17,9047.11,1.3,47.76,521.15,2388.16,8126.81,8.4272,0.03,394,2388,100,38.66,23.2381,NA,59.2279394828943
"68",3,88,6e-04,-4e-04,100,518.67,642.35,1596.58,1416.47,14.62,21.61,552.97,2388.1,9060.26,1.3,47.62,521.32,2388.14,8134.53,8.4659,0.03,391,2388,100,38.78,23.2619,NA,95.7171735691002
"69",3,89,1e-04,-2e-04,100,518.67,642.24,1591.76,1410.42,14.62,21.61,552.83,2388.13,9052.14,1.3,47.6,520.92,2388.07,8130.17,8.472,0.03,394,2388,100,38.73,23.2722,NA,72.2375722300349
"70",3,90,7e-04,-1e-04,100,518.67,642.57,1585.42,1408.64,14.62,21.61,553.03,2388.17,9047.19,1.3,47.56,521.36,2388.1,8136.19,8.5043,0.03,393,2388,100,38.77,23.3168,NA,70.2293683416366
"71",3,91,0.0025,0,100,518.67,642.51,1591.6,1404.14,14.62,21.61,553.29,2388.14,9054.28,1.3,47.42,521.35,2388.15,8130.14,8.4529,0.03,395,2388,100,38.96,23.3187,NA,68.8296229713586
"72",3,92,-0.0048,-3e-04,100,518.67,642.28,1593.36,1416.24,14.62,21.61,553.08,2388.14,9049.29,1.3,47.41,520.72,2388.11,8128.32,8.4676,0.03,394,2388,100,38.97,23.234,NA,78.7215651987636
"73",3,93,7e-04,4e-04,100,518.67,642.7,1593.29,1407.25,14.62,21.61,552.91,2388.16,9047.63,1.3,47.49,521.14,2388.16,8128.25,8.4262,0.03,395,2388,100,38.8,23.1903,NA,61.153678524278
"74",3,94,0.0019,2e-04,100,518.67,642.68,1588.4,1413.49,14.62,21.61,552.83,2388.16,9056.8,1.3,47.64,521.23,2388.11,8131.83,8.4445,0.03,394,2388,100,38.75,23.3715,NA,72.3988665001132
"75",3,95,0.0014,-2e-04,100,518.67,642.95,1595.37,1408.57,14.62,21.61,553.01,2388.1,9049.88,1.3,47.61,521,2388.16,8129.84,8.4695,0.03,393,2388,100,38.78,23.1833,NA,72.2931572119367
"76",3,96,-0.0017,-4e-04,100,518.67,642.83,1588.76,1406.08,14.62,21.61,552.93,2388.15,9053.68,1.3,47.63,521.34,2388.18,8131.72,8.4491,0.03,394,2388,100,38.77,23.3385,NA,74.0820532453486
"77",3,97,-0.0073,-3e-04,100,518.67,642.86,1588.9,1408.72,14.62,21.61,553.11,2388.13,9050.39,1.3,47.45,521.29,2388.16,8128.39,8.448,0.03,392,2388,100,38.82,23.2457,NA,90.8200449174231
"78",3,98,-0.0015,2e-04,100,518.67,642.46,1596.3,1409.74,14.62,21.61,552.66,2388.14,9050.88,1.3,47.53,521.47,2388.16,8129.69,8.4624,0.03,394,2388,100,38.99,23.2503,NA,70.6469448187552
"79",3,99,-7e-04,3e-04,100,518.67,642.71,1594.95,1409.94,14.62,21.61,553.54,2388.16,9055.6,1.3,47.5,521.42,2388.19,8129.59,8.4535,0.03,393,2388,100,38.94,23.2226,NA,79.6008449546326
"80",3,100,7e-04,4e-04,100,518.67,642.53,1600.07,1412.83,14.62,21.61,552.73,2388.11,9059.55,1.3,47.55,520.95,2388.11,8127.41,8.4299,0.03,394,2388,100,38.65,23.336,NA,80.2543488870655
"81",3,101,0.0019,0,100,518.67,642.44,1586.97,1408.99,14.62,21.61,553.01,2388.16,9050.94,1.3,47.58,520.7,2388.12,8123.97,8.4394,0.03,393,2388,100,38.73,23.1899,NA,74.4927118266228
"82",3,102,1e-04,0,100,518.67,643.39,1589.51,1409.89,14.62,21.61,553.13,2388.14,9053.06,1.3,47.61,521.04,2388.1,8130.48,8.4504,0.03,393,2388,100,38.76,23.1414,NA,76.3298606227654
"83",3,103,0.0011,0,100,518.67,642.8,1589.52,1411.25,14.62,21.61,553.7,2388.15,9058.64,1.3,47.53,521.29,2388.1,8131.79,8.4557,0.03,395,2388,100,38.87,23.1864,NA,71.3904276137883
"84",3,104,4e-04,-5e-04,100,518.67,642.91,1591.47,1409.8,14.62,21.61,553.16,2388.15,9055.53,1.3,47.78,521.5,2388.16,8133.14,8.4978,0.03,393,2388,100,38.87,23.2159,NA,73.6622774468002
"85",3,105,0.0028,-4e-04,100,518.67,642.73,1586.09,1405.36,14.62,21.61,552.6,2388.12,9050.59,1.3,47.59,521.17,2388.18,8126.27,8.4394,0.03,395,2388,100,38.76,23.3094,NA,63.396384124951
"86",3,106,0.0024,0,100,518.67,643.21,1589.98,1414.6,14.62,21.61,552.85,2388.11,9038.06,1.3,47.75,521.1,2388.1,8128.37,8.4485,0.03,393,2388,100,39.07,23.2566,NA,50.7199215839778
"87",3,107,4e-04,-2e-04,100,518.67,642.79,1589.16,1408.58,14.62,21.61,552.12,2388.08,9051.52,1.3,47.57,521.5,2388.13,8127.5,8.4386,0.03,392,2388,100,38.7,23.252,NA,83.0356446265801
"88",3,108,0.0036,-1e-04,100,518.67,643.06,1593.72,1411.86,14.62,21.61,553.06,2388.11,9055.51,1.3,47.59,521.48,2388.13,8128.84,8.4509,0.03,393,2388,100,38.67,23.2485,NA,76.348535530825
"89",3,109,-1e-04,4e-04,100,518.67,643.29,1593.51,1411.08,14.62,21.61,553.16,2388.1,9052.73,1.3,47.6,521.36,2388.14,8131.9,8.4593,0.03,394,2388,100,38.71,23.2187,NA,68.7764031016502
"90",3,110,-8e-04,0,100,518.67,642.6,1582.46,1409.54,14.62,21.61,553.1,2388.18,9046.74,1.3,47.59,521.37,2388.16,8125.34,8.4713,0.03,394,2388,100,38.88,23.2921,NA,63.7306772655995
"91",3,111,-0.0038,-2e-04,100,518.67,643.02,1589.99,1419.21,14.62,21.61,552.84,2388.16,9049.31,1.3,47.68,520.92,2388.13,8130.51,8.4788,0.03,393,2388,100,38.97,23.2875,NA,74.1451145214296
"92",3,112,6e-04,4e-04,100,518.67,643.35,1592.61,1416.75,14.62,21.61,552.77,2388.12,9057.8,1.3,47.66,520.65,2388.14,8122.26,8.4778,0.03,393,2388,100,38.61,23.3559,NA,80.9427443985003
"93",3,113,-0.0015,-5e-04,100,518.67,643.22,1595.38,1416.07,14.62,21.61,553.73,2388.12,9054.8,1.3,47.58,520.64,2388.17,8130.11,8.4495,0.03,394,2388,100,38.9,23.2923,NA,76.3290664228934
"94",3,114,-0.0033,3e-04,100,518.67,643.17,1592.08,1419.01,14.62,21.61,552.85,2388.21,9045.45,1.3,47.82,521.74,2388.14,8131.67,8.4324,0.03,393,2388,100,38.81,23.2768,NA,61.3478763171813
"95",3,115,0.0023,-1e-04,100,518.67,642.6,1592.38,1414.57,14.62,21.61,553.41,2388.14,9051.63,1.3,47.68,521.06,2388.17,8130.57,8.4732,0.03,393,2388,100,38.85,23.2683,NA,69.4850209354084
"96",3,116,0.0023,-4e-04,100,518.67,642.84,1592.18,1410.33,14.62,21.61,553.66,2388.13,9058.16,1.3,47.66,520.93,2388.21,8132.2,8.4621,0.03,393,2388,100,38.95,23.244,NA,78.267641660115
"97",3,117,0.0022,-5e-04,100,518.67,642.61,1592.16,1418.62,14.62,21.61,552.8,2388.15,9050.37,1.3,47.81,520.78,2388.13,8126.62,8.4657,0.03,395,2388,100,38.98,23.2925,NA,56.5340426021914
"98",3,118,-0.0019,4e-04,100,518.67,642.52,1596.46,1411.02,14.62,21.61,553.13,2388.13,9056.8,1.3,47.73,520.71,2388.14,8129.58,8.4522,0.03,394,2388,100,38.76,23.21,NA,72.7711536862598
"99",3,119,0.0057,-3e-04,100,518.67,643.15,1589.86,1414.47,14.62,21.61,553.15,2388.19,9049.41,1.3,47.46,520.95,2388.18,8133.9,8.4591,0.03,393,2388,100,38.78,23.187,NA,72.9656391394103
"100",3,120,-0.0049,-4e-04,100,518.67,642.84,1599.49,1416.64,14.62,21.61,552.31,2388.14,9050.54,1.3,47.88,521.03,2388.14,8129.51,8.4614,0.03,394,2388,100,38.69,23.1821,NA,68.0563755487137
"101",3,121,-4e-04,-1e-04,100,518.67,643.05,1595.36,1412.36,14.62,21.61,553.33,2388.18,9044.93,1.3,47.64,520.87,2388.15,8125.93,8.4892,0.03,392,2388,100,38.79,23.1749,NA,71.769559001334
"102",3,122,0.0022,-5e-04,100,518.67,642.65,1597.83,1412.76,14.62,21.61,552.8,2388.15,9044.98,1.3,47.75,521.25,2388.2,8129.3,8.4979,0.03,393,2388,100,38.61,23.2513,NA,63.2354257455052
"103",3,123,-0.0057,2e-04,100,518.67,642.54,1596.49,1409.72,14.62,21.61,552.72,2388.2,9046.83,1.3,47.67,520.53,2388.16,8125.94,8.4677,0.03,394,2388,100,38.65,23.233,NA,69.4781989509091
"104",3,124,-0.0011,3e-04,100,518.67,643.06,1590.49,1412.78,14.62,21.61,552.3,2388.13,9047.84,1.3,47.61,520.87,2388.16,8133.61,8.4551,0.03,395,2388,100,38.68,23.2353,NA,62.3843603881404
"105",3,125,0.0014,2e-04,100,518.67,643.24,1588.64,1412.6,14.62,21.61,553.1,2388.19,9048.12,1.3,47.62,520.13,2388.21,8128.02,8.4608,0.03,394,2388,100,38.56,23.227,NA,66.4495932022278
"106",3,126,-0.0016,4e-04,100,518.67,642.88,1589.75,1418.89,14.62,21.61,552.59,2388.16,9049.26,1.3,47.88,520.83,2388.14,8131.46,8.4119,0.03,395,2388,100,38.93,23.274,NA,53.6782616020382
"107",4,1,-0.0024,0,100,518.67,642.63,1589.43,1399.93,14.62,21.61,553.1,2388.05,9048.52,1.3,47.44,521.78,2388.15,8131.61,8.4195,0.03,393,2388,100,38.88,23.3204,NA,76.0043229681416
"108",4,2,-2e-04,5e-04,100,518.67,642.36,1591.83,1406.26,14.62,21.61,553.61,2388.11,9047.34,1.3,47.4,521.7,2388.1,8132.51,8.4099,0.03,392,2388,100,38.95,23.3056,NA,75.9128660296035
"109",4,3,0.0021,0,100,518.67,642.58,1590.84,1409.67,14.62,21.61,554.28,2388.08,9051.81,1.3,47.41,521.89,2388.07,8137.19,8.4253,0.03,391,2388,100,38.63,23.3811,NA,85.299232341155
"110",4,4,-5e-04,-1e-04,100,518.67,642.59,1589.02,1402.18,14.62,21.61,553.57,2388.11,9049.72,1.3,47.56,521.2,2388.08,8128.1,8.4205,0.03,392,2388,100,38.94,23.3223,NA,77.704380983732
"111",4,5,3e-04,4e-04,100,518.67,642.29,1584.92,1410.31,14.62,21.61,553.42,2388.07,9052.16,1.3,47.35,521.42,2388.11,8135.37,8.4306,0.03,391,2388,100,38.89,23.2932,NA,89.8798832862065
"112",4,6,8e-04,1e-04,100,518.67,642.29,1588.37,1410.51,14.62,21.61,552.76,2388.04,9052.35,1.3,47.32,521.43,2388.11,8128.33,8.4415,0.03,393,2388,100,38.97,23.4034,NA,82.3355894549768
"113",4,7,0.0032,-3e-04,100,518.67,642.1,1586.93,1411.36,14.62,21.61,553.78,2388.09,9052.59,1.3,47.33,521.7,2388.09,8134.09,8.4173,0.03,393,2388,100,38.73,23.368,NA,79.6535199981868
"114",4,8,9e-04,-2e-04,100,518.67,642.65,1586.81,1410.31,14.62,21.61,553.9,2388.1,9048.97,1.3,47.59,521.75,2388.09,8136.4,8.4265,0.03,392,2388,100,38.89,23.2685,NA,72.8414790083014
"115",4,9,5e-04,-4e-04,100,518.67,643.05,1585.09,1408.07,14.62,21.61,553.71,2388.06,9056.65,1.3,47.31,521.54,2388.09,8134.33,8.4267,0.03,392,2388,100,38.62,23.3591,NA,94.4202692651529
"116",4,10,-0.003,3e-04,100,518.67,642.55,1586.65,1411.38,14.62,21.61,554.13,2388.1,9052.12,1.3,47.44,522.37,2388.09,8135.74,8.4311,0.03,394,2388,100,38.87,23.3449,NA,70.4097245569802
